姓名,年龄,收入,年龄段
黄静,32,16545.0,青年(18-35)
赵艳,43,168838.0,中年(36-59)
王军,59,64087.0,中年(36-59)
黄静,30,71840.0,青年(18-35)
刘洋,68,121451.0,老年(60+)
黄娜,49,42353.0,中年(36-59)
杨静,56,196075.0,中年(36-59)
杨芳,69,146907.07272727272,老年(60+)
吴磊,21,70172.0,青年(18-35)
周伟,47,146907.07272727272,中年(36-59)
赵敏,40,96264.0,中年(36-59)
周军,60,115859.0,老年(60+)
周芳,53,146907.07272727272,中年(36-59)
吴勇,30,180789.0,青年(18-35)
李敏,24,128657.0,青年(18-35)
王伟,39,160381.0,中年(36-59)
刘芳,45,197806.0,中年(36-59)
黄敏,19,146907.07272727272,青年(18-35)
李磊,59,186734.0,中年(36-59)
杨艳,62,101506.0,老年(60+)
刘磊,74,112751.0,老年(60+)
李艳,23,171229.0,青年(18-35)
刘洋,45,109081.0,中年(36-59)
赵勇,45,92045.0,中年(36-59)
黄静,61,37698.0,老年(60+)
李静,61,113078.0,老年(60+)
黄艳,37,25671.0,中年(36-59)
周勇,47,89202.0,中年(36-59)
张勇,28,54663.0,青年(18-35)
赵勇,75,18708.0,老年(60+)
黄伟,72,136883.0,老年(60+)
黄洋,45,115547.0,中年(36-59)
王伟,42,37754.0,中年(36-59)
陈艳,18,145483.0,青年(18-35)
赵艳,74,136983.0,老年(60+)
周洋,74,146907.07272727272,老年(60+)
李伟,69,74295.0,老年(60+)
王洋,20,135874.0,青年(18-35)
杨娜,56,11155.0,中年(36-59)
张娜,23,50254.0,青年(18-35)
张静,44,88981.0,中年(36-59)
吴军,26,33306.0,青年(18-35)
赵勇,54,150718.0,中年(36-59)
